function,Cerrada,En trámite,Total
Conducción,337.0,76.0,413.0
Desarrollo social,142.0,72.0,214.0
Seguridad y justicia,97.0,84.0,181.0
Desarrollo territorial,160.0,20.0,180.0
Desarrollo económico,129.0,27.0,156.0
